# SEU Times,,,,,,,,,
#Time, Latitude (deg), Longitude (deg), Altitude (km), GEO_x (km), GEO_y (km), GEO_z (km), GEO_vx (km/s), GEO_vy (km/s), GEO_vz (km/s)
19/04/2014 10:13,54.715,-79.33,1440.78,837.764,-4446.514,6359.243,2.509663,-5.077005,-3.745466
21/04/2014 1:20,74.78,-81.06,1206.92,310.252,-1972.274,7296.945,3.175828,5.946545,1.940405
23/04/2014 20:52,-45.512,134.154,729.56,-3474.888,3579.03,-5047.874,2.974011,-4.957618,-4.785273
25/04/2014 13:40,10.833,-132.189,1205.94,-5003.021,-5519.712,1417.539,-0.15497,-1.040741,-6.944875
27/04/2014 4:47,56.543,-14.254,1441.18,4186.136,-1063.441,6500.387,5.673525,0.239616,-3.720385
29/04/2014 12:06,-52.389,-102.968,544.66,-949.987,-4125.237,-5460.767,3.026183,5.67502,-4.236012
01/05/2014 11:38,29.503,-116.711,1224.88,-2976.334,-5915.026,3725.773,-0.66351,-3.066015,-6.261518
03/05/2014 8:33,-61.776,-52.101,425.74,1981.332,-2545.266,-5971.893,-2.251673,6.747398,-3.273684
05/05/2014 8:18,-22.943,-65.452,638.57,2685.802,-5880.3,-2719.813,-0.66123,3.439307,-6.747523
07/05/2014 12:55,63.391,-161.253,1357.07,-3288.105,-1115.961,6892.943,-4.687048,-3.877025,-3.190191
09/05/2014 14:57,-19.966,-174.366,565.43,-6497.027,-640.971,-2357.231,3.103329,-0.507701,-7.007241
11/05/2014 14:41,18.854,179.287,856.71,-6848.257,85.248,2324.881,-1.82986,-0.703757,-7.108841
13/05/2014 10:59,57.356,-140,1186.57,-3132.16,-2628.148,6346.537,-3.060037,-4.859382,-4.066421
15/05/2014 0:40,51.808,14.432,1093.25,4481.709,1153.405,5848.836,4.610651,2.711284,-4.715143
17/05/2014 5:30,80.724,-156.066,1360.49,-1143.172,-507.395,7615.783,4.340758,-5.316021,-0.000781
19/05/2014 4:15,-22.817,-32.177,390.78,5283.422,-3324.235,-2609.591,-2.28412,2.487838,-7.108731
21/05/2014 14:01,64.502,153.329,1047.49,-2863.209,1438.203,6679.476,-6.30116,0.495445,-3.394809
23/05/2014 20:39,80.977,-14.792,1200.8,1152.368,-304.3,7463.513,2.482708,6.540611,-0.57809
25/05/2014 19:09,24.987,83.006,558.53,765.968,6244.089,2913.651,-0.531431,2.860969,-7.115202
27/05/2014 19:07,10.064,82.126,425.18,917.714,6636.131,1181.481,-0.617282,1.118429,-7.727609
29/05/2014 19:35,-58.042,-121.891,957.15,-2055.477,-3303.402,-6200.307,-1.698064,-6.2763,3.245234
31/05/2014 6:07,0.904,92.045,1415.6,-278.086,7787.814,122.259,-0.510315,0.026771,6.801117
02/06/2014 20:12,80.944,-26.008,935.2,1037.509,-506.208,7200.536,4.007237,6.043713,-0.723069
06/06/2014 1:59,-77.473,97.062,945.33,-195.827,1580.818,-7127.265,-5.741772,4.435253,0.563345
08/06/2014 0:24,-39.703,154.848,1335.21,-5377.795,2525.101,-4905.599,-4.572679,1.065365,5.047
10/06/2014 0:20,-31.742,153.574,1404.13,-5931.19,2947.617,-4074.875,-3.688191,0.957683,5.665878
12/06/2014 18:08,55.959,53.464,441.24,2277.54,3073.853,5627.487,2.069061,6.009558,-4.543389
14/06/2014 5:59,70.552,-140.357,514.38,-1772.005,-1468.171,6476.859,-2.667879,-6.729581,-2.716467
